millisecs |yr|mo|da|hr|mi|se|volt   |ampere |watt   
0000000028|21|02|24|08|07|58|038.937|000.059|002.306
0000000104|21|02|24|08|07|59|038.948|000.044|001.730
0000000204|21|02|24|08|07|59|038.953|000.029|001.153
0000000304|21|02|24|08|07|59|038.943|000.014|000.576
0000000404|21|02|24|08|07|59|038.959|000.029|001.154
0000000504|21|02|24|08|07|59|038.905|000.014|000.576
0000000604|21|02|24|08|07|59|038.959|000.007|000.288
0000000705|21|02|24|08|07|59|038.890|000.059|002.303
0000000804|21|02|24|08|07|59|038.985|000.014|000.577
0000000904|21|02|24|08|07|59|038.932|000.007|000.288
0000001005|21|02|24|08|08|00|038.969|000.022|000.865
0000001104|21|02|24|08|08|00|038.937|000.007|000.288
0000001204|21|02|24|08|08|00|038.937|000.022|000.865
0000001305|21|02|24|08|08|00|038.895|000.059|002.304
0000001404|21|02|24|08|08|00|038.916|000.037|001.440
0000001504|21|02|24|08|08|00|038.921|000.014|000.576
0000001605|21|02|24|08|08|00|038.964|000.081|003.174
0000001704|21|02|24|08|08|00|038.927|000.051|002.017
0000001804|21|02|24|08|08|00|038.975|000.103|004.040
0000001905|21|02|24|08|08|00|038.953|000.044|001.730
0000002004|21|02|24|08|08|01|038.937|000.022|000.865
0000002104|21|02|24|08|08|01|038.975|000.037|001.443
0000002205|21|02|24|08|08|01|038.975|000.059|002.309
0000002304|21|02|24|08|08|01|038.932|000.022|000.864
0000002404|21|02|24|08|08|01|038.948|000.007|000.288
0000002505|21|02|24|08|08|01|038.959|000.007|000.288
0000002604|21|02|24|08|08|01|038.921|000.022|000.864
0000002704|21|02|24|08|08|01|038.916|000.022|000.864
0000002804|21|02|24|08|08|01|038.948|000.066|002.595
0000002904|21|02|24|08|08|01|038.959|000.059|002.308
0000003004|21|02|24|08|08|02|038.927|000.059|002.306
0000003104|21|02|24|08|08|02|038.948|000.059|002.307
0000003204|21|02|24|08|08|02|038.911|000.029|001.152
0000003304|21|02|24|08|08|02|038.953|000.029|001.153
0000003404|21|02|24|08|08|02|038.964|000.029|001.154
0000003504|21|02|24|08|08|02|038.959|000.029|001.154
0000003603|21|02|24|08|08|02|038.927|000.000|000.000
0000003703|21|02|24|08|08|02|038.890|000.000|000.000
0000003804|21|02|24|08|08|02|038.943|000.044|001.730
0000003905|21|02|24|08|08|02|038.932|000.029|001.153
0000004004|21|02|24|08|08|03|038.927|000.059|002.306
0000004104|21|02|24|08|08|03|038.985|000.044|001.732
0000004205|21|02|24|08|08|03|038.969|000.081|003.174
0000004304|21|02|24|08|08|03|038.895|000.044|001.728
0000004404|21|02|24|08|08|03|038.943|000.044|001.730
0000004505|21|02|24|08|08|03|038.937|000.022|000.865
0000004604|21|02|24|08|08|03|038.948|000.007|000.288
0000004704|21|02|24|08|08|03|038.953|000.074|002.884
0000004805|21|02|24|08|08|03|038.969|000.029|001.154
0000004904|21|02|24|08|08|03|038.959|000.088|003.462
0000005004|21|02|24|08|08|04|038.969|000.029|001.154
0000005105|21|02|24|08|08|04|038.916|000.029|001.152
