millisecs |yr|mo|da|hr|mi|se|volt   |ampere |watt   
0000000028|21|02|24|08|17|29|039.007|000.051|002.022
0000000119|21|02|24|08|17|29|039.012|000.051|002.022
0000000217|21|02|24|08|17|29|039.007|000.029|001.155
0000000317|21|02|24|08|17|29|039.022|000.022|000.866
0000000418|21|02|24|08|17|30|038.991|000.007|000.288
0000000518|21|02|24|08|17|30|039.012|000.007|000.288
0000000618|21|02|24|08|17|30|038.996|000.059|002.310
0000000718|21|02|24|08|17|30|038.996|000.007|000.288
0000000817|21|02|24|08|17|30|038.996|000.000|000.000
0000000918|21|02|24|08|17|30|039.017|000.029|001.155
0000001018|21|02|24|08|17|30|039.007|000.014|000.577
0000001118|21|02|24|08|17|30|039.022|000.014|000.577
0000001219|21|02|24|08|17|30|039.012|000.007|000.288
0000001317|21|02|24|08|17|30|039.007|000.000|000.000
0000001418|21|02|24|08|17|31|038.996|000.014|000.577
0000001519|21|02|24|08|17|31|038.996|000.051|002.021
0000001618|21|02|24|08|17|31|039.007|000.007|000.288
0000001718|21|02|24|08|17|31|039.001|000.007|000.288
0000001819|21|02|24|08|17|31|038.975|000.007|000.288
0000001918|21|02|24|08|17|31|038.996|000.029|001.155
0000002018|21|02|24|08|17|31|039.001|000.014|000.577
0000002119|21|02|24|08|17|31|038.991|000.007|000.288
0000002218|21|02|24|08|17|31|038.996|000.029|001.155
0000002318|21|02|24|08|17|31|038.996|000.014|000.577
0000002419|21|02|24|08|17|32|039.012|000.074|002.889
0000002518|21|02|24|08|17|32|039.017|000.007|000.288
0000002618|21|02|24|08|17|32|039.001|000.014|000.577
0000002718|21|02|24|08|17|32|039.033|000.000|000.000
0000002818|21|02|24|08|17|32|038.996|000.014|000.577
0000002918|21|02|24|08|17|32|038.985|000.022|000.866
0000003019|21|02|24|08|17|32|039.007|000.014|000.577
0000003118|21|02|24|08|17|32|039.001|000.014|000.577
0000003217|21|02|24|08|17|32|039.007|000.000|000.000
0000003319|21|02|24|08|17|32|039.017|000.096|003.756
0000003419|21|02|24|08|17|33|038.991|000.125|004.908
0000003519|21|02|24|08|17|33|039.007|000.044|001.733
0000003619|21|02|24|08|17|33|038.991|000.037|001.443
0000003719|21|02|24|08|17|33|038.996|000.059|002.310
0000003819|21|02|24|08|17|33|039.007|000.037|001.444
0000003919|21|02|24|08|17|33|038.985|000.051|002.020
0000004019|21|02|24|08|17|33|038.991|000.022|000.866
0000004119|21|02|24|08|17|33|038.969|000.044|001.731
0000004219|21|02|24|08|17|33|038.980|000.103|004.041
0000004319|21|02|24|08|17|33|038.996|000.044|001.732
0000004420|21|02|24|08|17|34|038.996|000.066|002.599
0000004519|21|02|24|08|17|34|038.980|000.125|004.907
0000004619|21|02|24|08|17|34|038.996|000.059|002.310
0000004720|21|02|24|08|17|34|038.996|000.096|003.754
0000004819|21|02|24|08|17|34|039.001|000.118|004.621
0000004919|21|02|24|08|17|34|038.975|000.059|002.309
0000005020|21|02|24|08|17|34|038.996|000.022|000.866
0000005119|21|02|24|08|17|34|038.985|000.037|001.443
0000005219|21|02|24|08|17|34|038.980|000.037|001.443
0000005320|21|02|24|08|17|34|038.959|000.037|001.442
0000005419|21|02|24|08|17|35|038.985|000.133|005.196
0000005519|21|02|24|08|17|35|039.001|000.051|002.021
0000005620|21|02|24|08|17|35|038.975|000.074|002.886
0000005719|21|02|24|08|17|35|038.985|000.029|001.154
0000005819|21|02|24|08|17|35|038.985|000.037|001.443
0000005920|21|02|24|08|17|35|038.975|000.051|002.020
0000006019|21|02|24|08|17|35|038.985|000.066|002.598
0000006119|21|02|24|08|17|35|039.001|000.088|003.465
0000006220|21|02|24|08|17|35|039.001|000.088|003.465
0000006320|21|02|24|08|17|35|038.969|000.059|002.308
0000006420|21|02|24|08|17|36|039.007|000.074|002.888
0000006519|21|02|24|08|17|36|039.001|000.000|000.000
0000006620|21|02|24|08|17|36|038.996|000.081|003.176
0000006720|21|02|24|08|17|36|038.985|000.081|003.175
0000006820|21|02|24|08|17|36|039.007|000.051|002.022
0000006920|21|02|24|08|17|36|039.007|000.051|002.022
0000007020|21|02|24|08|17|36|038.996|000.074|002.887
0000007120|21|02|24|08|17|36|038.996|000.096|003.754
0000007220|21|02|24|08|17|36|038.975|000.140|005.483
0000007321|21|02|24|08|17|36|038.985|000.088|003.464
0000007420|21|02|24|08|17|37|039.001|000.111|004.332
0000007520|21|02|24|08|17|37|038.985|000.088|003.464
0000007621|21|02|24|08|17|37|038.996|000.074|002.887
0000007720|21|02|24|08|17|37|038.985|000.074|002.887
0000007820|21|02|24|08|17|37|039.001|000.059|002.310
0000007921|21|02|24|08|17|37|038.991|000.066|002.598
0000008020|21|02|24|08|17|37|039.001|000.051|002.021
0000008120|21|02|24|08|17|37|038.985|000.014|000.577
0000008221|21|02|24|08|17|37|038.985|000.074|002.887
0000008320|21|02|24|08|17|37|038.991|000.066|002.598
0000008420|21|02|24|08|17|38|038.991|000.051|002.021
0000008521|21|02|24|08|17|38|038.985|000.066|002.598
0000008620|21|02|24|08|17|38|038.964|000.081|003.174
0000008720|21|02|24|08|17|38|038.980|000.059|002.309
0000008821|21|02|24|08|17|38|038.975|000.051|002.020
0000008920|21|02|24|08|17|38|039.001|000.066|002.599
0000009020|21|02|24|08|17|38|038.985|000.074|002.887
0000009121|21|02|24|08|17|38|038.969|000.029|001.154
0000009220|21|02|24|08|17|38|038.959|000.044|001.731
0000009320|21|02|24|08|17|38|038.943|000.051|002.018
0000009420|21|02|24|08|17|39|038.943|000.096|003.749
0000009520|21|02|24|08|17|39|038.948|000.051|002.019
0000009620|21|02|24|08|17|39|038.964|000.066|002.596
0000009720|21|02|24|08|17|39|038.948|000.111|004.326
0000009820|21|02|24|08|17|39|038.969|000.118|004.617
0000009920|21|02|24|08|17|39|038.932|000.125|004.901
0000010020|21|02|24|08|17|39|038.959|000.111|004.327
0000010120|21|02|24|08|17|39|038.969|000.088|003.463
0000010220|21|02|24|08|17|39|038.975|000.096|003.752
0000010320|21|02|24|08|17|39|038.943|000.140|005.479
0000010420|21|02|24|08|17|40|038.959|000.140|005.481
0000010521|21|02|24|08|17|40|038.964|000.170|006.636
0000010620|21|02|24|08|17|40|038.948|000.111|004.326
0000010720|21|02|24|08|17|40|038.969|000.111|004.328
0000010821|21|02|24|08|17|40|038.964|000.081|003.174
0000010920|21|02|24|08|17|40|038.959|000.125|004.904
0000011020|21|02|24|08|17|40|038.937|000.088|003.460
0000011121|21|02|24|08|17|40|038.969|000.088|003.463
0000011220|21|02|24|08|17|40|038.953|000.118|004.615
0000011320|21|02|24|08|17|40|038.953|000.096|003.750
0000011421|21|02|24|08|17|41|038.943|000.059|002.307
0000011520|21|02|24|08|17|41|038.959|000.037|001.442
0000011620|21|02|24|08|17|41|038.921|000.118|004.611
0000011721|21|02|24|08|17|41|038.959|000.096|003.750
0000011820|21|02|24|08|17|41|038.932|000.118|004.613
0000011920|21|02|24|08|17|41|038.932|000.133|005.189
0000012021|21|02|24|08|17|41|038.937|000.207|008.073
0000012120|21|02|24|08|17|41|038.937|000.155|006.055
0000012220|21|02|24|08|17|41|038.773|000.859|033.307
0000012321|21|02|24|08|17|41|038.789|000.666|025.852
0000012420|21|02|24|08|17|42|038.767|000.718|027.847
0000012520|21|02|24|08|17|42|037.454|006.035|226.053
0000012620|21|02|24|08|17|42|038.533|001.903|073.337
0000012720|21|02|24|08|17|42|038.905|000.170|006.626
0000012820|21|02|24|08|17|42|038.836|000.436|016.968
