millisecs |yr|mo|da|hr|mi|se|volt   |ampere |watt   
0000009488|21|02|23|10|03|24|039.804|000.007|000.294
0000009587|21|02|23|10|03|25|039.815|000.051|002.063
0000009687|21|02|23|10|03|25|039.793|000.044|001.768
0000009788|21|02|23|10|03|25|039.820|000.051|002.064
0000009887|21|02|23|10|03|25|039.793|000.044|001.768
0000009987|21|02|23|10|03|25|039.809|000.044|001.768
0000010087|21|02|23|10|03|25|039.820|000.000|000.000
0000010187|21|02|23|10|03|25|039.799|000.081|003.242
0000010287|21|02|23|10|03|25|039.809|000.044|001.768
0000010387|21|02|23|10|03|25|039.804|000.007|000.294
0000010487|21|02|23|10|03|25|039.783|000.088|003.535
0000010587|21|02|23|10|03|26|039.809|000.059|002.358
0000010687|21|02|23|10|03|26|039.799|000.037|001.473
0000010787|21|02|23|10|03|26|039.799|000.037|001.473
0000010887|21|02|23|10|03|26|039.804|000.000|000.000
0000010987|21|02|23|10|03|26|039.783|000.051|002.062
0000011087|21|02|23|10|03|26|039.788|000.014|000.589
0000011187|21|02|23|10|03|26|039.799|000.029|001.178
0000011287|21|02|23|10|03|26|039.788|000.029|001.178
0000011387|21|02|23|10|03|26|039.799|000.029|001.178
0000011488|21|02|23|10|03|26|039.825|000.014|000.589
0000011587|21|02|23|10|03|27|039.799|000.022|000.884
0000011687|21|02|23|10|03|27|039.799|000.059|002.357
0000011788|21|02|23|10|03|27|039.788|000.037|001.473
0000011887|21|02|23|10|03|27|039.809|000.066|002.653
0000011987|21|02|23|10|03|27|039.820|000.022|000.884
0000012088|21|02|23|10|03|27|039.778|000.059|002.356
0000012187|21|02|23|10|03|27|039.799|000.037|001.473
0000012287|21|02|23|10|03|27|039.815|000.014|000.589
0000012388|21|02|23|10|03|27|039.809|000.014|000.589
0000012487|21|02|23|10|03|27|039.804|000.007|000.294
0000012587|21|02|23|10|03|28|039.778|000.029|001.178
0000012688|21|02|23|10|03|28|039.788|000.044|001.767
0000012787|21|02|23|10|03|28|039.799|000.044|001.768
0000012887|21|02|23|10|03|28|039.809|000.044|001.768
0000012988|21|02|23|10|03|28|039.820|000.000|000.000
0000013087|21|02|23|10|03|28|039.799|000.022|000.884
0000013187|21|02|23|10|03|28|039.809|000.044|001.768
0000013287|21|02|23|10|03|28|039.804|000.007|000.294
0000013387|21|02|23|10|03|28|039.820|000.022|000.884
0000013487|21|02|23|10|03|28|039.788|000.037|001.473
0000013587|21|02|23|10|03|29|039.815|000.051|002.063
0000013687|21|02|23|10|03|29|039.820|000.044|001.769
0000013787|21|02|23|10|03|29|039.788|000.037|001.473
0000013887|21|02|23|10|03|29|039.809|000.014|000.589
0000013987|21|02|23|10|03|29|039.820|000.014|000.589
